formula,oos_ic,raw_factors_used,factor_correlations,max_factor_redundancy,likely_rediscovery,top_decile_daily_churn,economic_rationale,approved
"sub(rvol_open30, rank(sub(nifty_ret_5d, zscore_20d)))",0.1028,"nifty_ret_5d, ret_5d, rvol_open30, zscore_20d","{'nifty_ret_5d': -0.348, 'ret_5d': 0.137, 'rvol_open30': 0.908, 'zscore_20d': 0.204}",0.908,True,0.1216,REQUIRED -- explain WHY this should predict returns,False
rvol_20d,0.0931,rvol_20d,{'rvol_20d': 1.0},1.0,True,0.1264,REQUIRED -- explain WHY this should predict returns,False
"sub(rvol_20d, rank(sub(nifty_ret_5d, rvol_20d)))",0.0553,"nifty_ret_5d, ret_5d, rvol_20d","{'nifty_ret_5d': -0.89, 'ret_5d': -0.032, 'rvol_20d': 0.406}",0.89,False,0.1053,REQUIRED -- explain WHY this should predict returns,False
"sub(rvol_20d, rank(nifty_ret_5d))",0.0509,"nifty_ret_5d, ret_5d, rvol_20d","{'nifty_ret_5d': -0.906, 'ret_5d': -0.032, 'rvol_20d': 0.367}",0.906,True,0.1062,REQUIRED -- explain WHY this should predict returns,False
"sub(rvol_20d, rank(sub(nifty_ret_5d, mkt_gap_median)))",0.0493,"mkt_gap_median, nifty_ret_5d, ret_5d, rvol_20d","{'mkt_gap_median': 0.207, 'nifty_ret_5d': -0.89, 'ret_5d': -0.035, 'rvol_20d': 0.367}",0.89,False,0.1084,REQUIRED -- explain WHY this should predict returns,False
"sub(sub(nifty_ret_5d, rvol_20d), rvol_open30)",-0.0475,"nifty_ret_5d, ret_5d, rvol_20d, rvol_open30","{'nifty_ret_5d': 0.952, 'ret_5d': 0.034, 'rvol_20d': -0.313, 'rvol_open30': -0.314}",0.952,True,0.092,REQUIRED -- explain WHY this should predict returns,False
"sub(rvol_20d, rank(sub(nifty_ret_5d, zscore_20d)))",0.0453,"nifty_ret_5d, ret_5d, rvol_20d, zscore_20d","{'nifty_ret_5d': -0.763, 'ret_5d': 0.334, 'rvol_20d': 0.362, 'zscore_20d': 0.474}",0.763,False,0.1129,REQUIRED -- explain WHY this should predict returns,False
"sub(rvol_20d, rank(sub(nifty_ret_5d, gap_idiosyncratic)))",0.0452,"gap_idiosyncratic, nifty_ret_5d, ret_5d, rvol_20d","{'gap_idiosyncratic': 0.439, 'nifty_ret_5d': -0.795, 'ret_5d': -0.022, 'rvol_20d': 0.358}",0.795,False,0.1101,REQUIRED -- explain WHY this should predict returns,False
"sub(nifty_ret_5d, rvol_open30)",-0.0433,"nifty_ret_5d, ret_5d, rvol_open30","{'nifty_ret_5d': 0.964, 'ret_5d': 0.034, 'rvol_open30': -0.272}",0.964,True,0.091,REQUIRED -- explain WHY this should predict returns,False
"sub(rvol_20d, rank(sub(nifty_ret_5d, nifty_ret_1d)))",0.0405,"nifty_ret_1d, nifty_ret_5d, ret_1d, ret_5d, rvol_20d","{'nifty_ret_1d': 0.015, 'nifty_ret_5d': -0.806, 'ret_1d': -0.01, 'ret_5d': -0.029, 'rvol_20d': 0.368}",0.806,False,0.1073,REQUIRED -- explain WHY this should predict returns,False
