factor,rule,is_mean,is_p,is_n,confirmed,oos_mean,oos_win_rate,oos_n,fdr_pass
zscore_20d,zscore_20d > 1.56,0.027494321692622035,0.32476919070999904,133,False,-0.003251867770388716,0.5081632653061224,490,False
ret_20d,ret_20d > 7.602,0.027272077279319143,0.3201556259555714,132,True,0.02337566610611267,0.5328947368421053,456,False
rv20,rv20 <= 22.14,0.023064629877358078,0.21407944284169367,309,False,0.008616191220608194,0.5277337559429477,1262,False
range_compression,range_compression > 1.118,0.021774232388488288,0.5293221458938475,107,True,0.016632181065087657,0.5252525252525253,693,False
up_streak,up_streak > 1,0.016840027502390914,0.3980594129671874,236,True,0.017136717709355848,0.5248868778280543,884,False
ret_1d,ret_1d <= -1.688,0.016098273228932772,0.5261133431271011,146,True,0.011849597419069232,0.5181451612903226,496,False
ret_5d,ret_5d <= -3.483,0.014042251842317912,0.6114757642076192,144,False,0.004008082901515008,0.5246179966044142,589,False
rvol_20d,rvol_20d > 0.9274,0.011585846550040154,0.4342179732104629,487,True,0.043483905731995065,0.5623100303951368,1974,False
dist_prev_high,dist_prev_high <= 0.5626,-0.011576632181726897,0.3084229133045631,830,False,0.013604004916554667,0.5239472838315654,3111,False
rvol_open30,rvol_open30 > 1.322,0.011546762211865276,0.4752310348287216,398,True,0.046893487527694136,0.5692951015531661,1674,False
mkt_gap_median,mkt_gap_median <= 0.3954,-0.010488536043081205,0.35342392579578863,832,False,0.011991138819494753,0.5230923694779116,2988,False
nifty_ret_1d,nifty_ret_1d > -0.9926,-0.00998326747642815,0.3879697069319225,827,False,0.0036122945332151195,0.5127779621639562,3013,False
gap_idiosyncratic,gap_idiosyncratic > -1.321,-0.00929667953173445,0.417138845060415,830,False,0.01114305233463639,0.5170857511283043,3102,False
nifty_ret_5d,nifty_ret_5d <= -0.2228,0.008821547311236024,0.5507627117014194,483,True,0.016533854185947116,0.5184713375796178,1570,False
atr14_pct,atr14_pct <= 2.34,-0.0064988521938280286,0.5785787642325934,770,False,0.009958402302853775,0.5216819973718791,3044,False
gap_pct,gap_pct > -1.31,-0.006245346843123649,0.5860608900094799,830,False,0.011228555656889001,0.5198748043818466,3195,False
dist_prev_low,dist_prev_low <= 0.144,-0.006024342137995295,0.725634514509158,342,False,0.013598785928736564,0.5409054805401112,1259,False
vix_chg_1d,vix_chg_1d <= 26.63,-0.005744724308608346,0.6286870924557315,734,False,0.015852545471397205,0.5247888358428204,2723,False
gap_abs,gap_abs <= 1.563,-0.0037500469043078013,0.7414031569977275,830,False,0.011755317002528234,0.51968,3125,False
gap_vs_atr,gap_vs_atr <= 0.7559,-0.0018838368171173968,0.8742316641592898,770,False,0.011908975508567933,0.5196232339089482,3185,False
vix_level,vix_level <= 15.4,0.0015779797126818649,0.9081860713956597,538,True,0.011429386385638592,0.5179683756588405,2087,False
