,rule,years_active,early_mean,recent_mean,yearly_trend,pct_years_positive,status
0,tb_tb_ret > -0.5549,4,0.07869209600006877,0.07823941035233822,0.003424489712996553,1.0,STABLE
1,ret_20d > 7.602,4,0.03810481238382241,0.008277770956992515,-0.008942899921429982,1.0,DECAYING
2,range_compression > 1.118,4,0.020061453324207737,0.013354425564912722,-0.00353091920091937,1.0,STABLE
3,up_streak > 1,4,0.029068644217588965,0.005641587170340585,-0.006913657755343539,1.0,DECAYING
4,ret_1d <= -1.688,4,0.01165562373961418,0.013454564552713513,0.005280684378120455,0.75,STABLE
5,rvol_20d > 0.9274,4,0.03682385261229898,0.03330667923340702,0.005045821245243594,1.0,STABLE
6,rvol_open30 > 1.322,4,0.040316199929031946,0.03594128877524707,0.0053900333466701455,1.0,STABLE
7,nifty_ret_5d <= -0.2228,4,0.01910599353880812,0.011269586478399273,-0.0007156362183075617,1.0,STABLE
8,vix_level <= 15.4,4,0.013863998615922826,0.004282559973367764,-0.0005651392813384921,0.75,DECAYING
