factor,rule,is_mean,is_p,is_n,confirmed,oos_mean,oos_t,oos_win_rate,oos_n,oos_n_eff,fdr_pass
atr14_pct,atr14_pct > 2.391,0.06872704441623476,0.03710097543927909,112,False,-0.004928774114624764,-0.32,0.5,552,552.0,False
rvol_20d,rvol_20d <= 0.88,0.04517218092239348,0.11745591323057318,163,False,-0.007218047167952179,-0.59,0.5079365079365079,693,693.0,False
ret_5d,ret_5d <= -1.989,0.03908878451303619,0.029370657658877673,351,False,-0.003044785316003318,-0.32,0.4860031104199067,1286,1286.0,False
vix_chg_1d,vix_chg_1d <= -34.45,0.038562695773596264,0.1278781493621983,182,False,0.006929459875694147,0.49,0.503448275862069,580,580.0,False
nifty_ret_5d,nifty_ret_5d <= -1.707,0.03282182536677025,0.12056951637183899,237,False,0.0116785182166081,1.1,0.5129224652087475,1006,1006.0,False
range_compression,range_compression > 1.074,0.031221268289760767,0.18097650190250522,220,False,0.011560518870845042,1.18,0.5186440677966102,1180,1180.0,False
rvol_open30,rvol_open30 <= 0.392,0.030490326205318188,0.19327810537297008,219,False,0.016152845768764468,1.5,0.5313531353135313,909,909.0,False
nifty_ret_1d,nifty_ret_1d > 1.205,0.02876131099946006,0.31914585580686883,117,False,0.025161427423419928,1.8,0.5476635514018692,535,535.0,False
dist_prev_high,dist_prev_high > 0.5023,0.024096462633684146,0.4292123875323572,120,False,-0.009951796405682707,-0.61,0.4859335038363171,391,391.0,False
rv20,rv20 > 26.93,0.023626251455622575,0.3194476289888003,217,False,0.003284938364600269,0.29,0.5214932126696833,884,884.0,False
zscore_20d,zscore_20d <= -1.821,0.02214076114103422,0.4758172974184719,110,False,-0.01725907605986942,-1.07,0.46220302375809935,463,463.0,False
up_streak,up_streak <= 0,0.014888814496553583,0.2636645186833999,606,False,-0.0013958974824383162,-0.19,0.5,2226,2226.0,False
gap_abs,gap_abs <= 0.8338,0.012522517661304402,0.3023889011428991,777,False,0.010254843593521402,1.61,0.507236145428874,2833,2833.0,False
mkt_gap_median,mkt_gap_median > 0.3691,0.012353487044499751,0.6123796435868423,179,False,-0.012488988241983426,-1.09,0.48842592592592593,864,864.0,False
gap_pct,gap_pct > -0.775,0.011268633442036389,0.30059499503505954,956,False,0.004477912053321599,0.79,0.5034266133637921,3502,3502.0,False
ret_20d,ret_20d <= 8.047,0.008756343518336372,0.42973035093777595,923,False,0.0016928564814931862,0.32,0.5017957927142124,3898,3898.0,False
gap_vs_atr,gap_vs_atr <= 0.7264,0.006952800972110285,0.5189028000674993,1006,False,0.004515414952835254,0.85,0.5045022511255628,3998,3998.0,False
gap_idiosyncratic,gap_idiosyncratic > -1.285,0.0063306538471151535,0.5357566126557163,1076,False,0.004831782845323559,0.92,0.5050632911392405,3950,3950.0,False
ret_1d,ret_1d <= 1.926,0.005304592398479867,0.5999990173021297,1072,False,0.0046355185154840425,0.87,0.5073866530820174,3926,3926.0,False
dist_prev_low,dist_prev_low <= 2.39,0.0044371643096349795,0.6647035078672772,1076,False,0.005103673685297234,0.95,0.5077905491698596,3915,3915.0,False
vix_level,vix_level <= 19.63,0.003593585782805088,0.7198280030136333,1077,False,0.0052579913858321,0.98,0.5073095665555271,3899,3899.0,False
