,pattern,is_mean,is_win,is_p,is_n,confirmed,oos_mean,oos_win_rate,oos_n,fdr_pass
10,last 3 outcomes = LLW,-0.046779414623329435,0.42105263157894735,0.06453184701336669,133,False,0.017412187921278993,0.5257270693512305,447,False
12,last 3 outcomes = LWL,-0.044942417859369845,0.42857142857142855,0.11182303538045604,140,False,-0.006784254308942362,0.5090497737556561,442,False
4,last 2 outcomes = LW,-0.043443314584515315,0.4268292682926829,0.027621560273555234,246,False,0.0028361038501285613,0.5153508771929824,912,False
7,last 3 outcomes = WLW,-0.042945034104544026,0.42342342342342343,0.17409831347526586,111,False,-0.011175744708590235,0.5053763440860215,465,False
8,last 3 outcomes = LWW,0.04061263867152444,0.5436893203883495,0.23094241058621143,103,False,0.01715397254012234,0.505307855626327,471,False
9,last 3 outcomes = WLL,0.036036255955821696,0.5112781954887218,0.24401349300356975,133,False,0.017070349479975704,0.5168539325842697,445,False
3,last 2 outcomes = WL,-0.0330428881404512,0.45121951219512196,0.10760299624417725,246,False,0.000767910367458687,0.510989010989011,910,False
0,last 1 outcomes = W,-0.018514950207492612,0.4606986899563319,0.21338072806409752,458,False,0.008995882876526829,0.5182250396196514,1893,False
13,last 3 outcomes = LLL,-0.017609237666901947,0.5161290322580645,0.5726842264697476,124,False,0.028192746587189024,0.5468354430379747,395,False
11,last 3 outcomes = WWW,-0.016258323050274654,0.46153846153846156,0.600464598975074,104,False,0.01247678138735376,0.5352941176470588,510,False
6,last 3 outcomes = WWL,-0.016119911993456755,0.4857142857142857,0.5920071500593871,105,False,0.007900510339615228,0.5128205128205128,468,False
5,last 2 outcomes = LL,0.011002343124061923,0.5153846153846153,0.6127231904770838,260,True,0.022300524310153388,0.530952380952381,840,False
1,last 1 outcomes = L,-0.01062704140900302,0.48336594911937375,0.47410008144642457,511,False,0.011103565059952143,0.5205714285714286,1750,False
2,last 2 outcomes = WW,0.009899300264669111,0.49760765550239233,0.6637767758240952,209,True,0.014722405274157021,0.5208970438328236,981,False
